41969,76003,0046900234,"APR 01, 1970",MIL @ PHL,W,0,13,,,,,,7,9,0.778,,,,,,,,,33,,0
41969,76003,0046900233,"MAR 30, 1970",MIL @ PHL,W,0,13,,,,,,7,8,0.875,,,,,,,,,33,,0
41969,76003,0046900232,"MAR 27, 1970",MIL vs. PHL,L,0,13,,,,,,7,8,0.875,,,,,,,,,33,,0
41969,76003,0046900231,"MAR 25, 1970",MIL vs. PHL,W,0,13,,,,,,10,13,0.769,,,,,,,,6,36,,0
41970,76003,0047000414,"APR 30, 1971",MIL @ BLT,W,44,10,16,0.625,,,,7,11,0.636,,,12,7,,,,2,27,,0
41970,76003,0047000413,"APR 28, 1971",MIL vs. BLT,W,46,10,22,0.455,,,,3,4,0.75,,,21,2,,,,3,23,,0
41970,76003,0047000412,"APR 25, 1971",MIL @ BLT,W,45,13,22,0.591,,,,1,1,1.0,,,24,2,,,,2,27,,0
41970,76003,0047000411,"APR 21, 1971",MIL vs. BLT,W,33,13,16,0.813,,,,5,5,1.0,,,17,0,,,,5,31,,0
41970,76003,0047000325,"APR 18, 1971",MIL vs. LAL,W,0,7,,,,,,6,8,0.75,,,,,,,,,20,,0
41970,76003,0047000324,"APR 16, 1971",MIL @ LAL,W,0,14,,,,,,3,5,0.6,,,,,,,,,31,,0
41970,76003,0047000323,"APR 14, 1971",MIL @ LAL,L,0,8,,,,,,4,5,0.8,,,,,,,,,20,,0
41970,76003,0047000322,"APR 11, 1971",MIL vs. LAL,W,0,9,,,,,,4,8,0.5,,,,,,,,,22,,0
41970,76003,0047000321,"APR 09, 1971",MIL vs. LAL,W,0,14,,,,,,4,7,0.571,,,,,,,,,32,,0
41970,76003,0047000235,"APR 04, 1971",MIL vs. SFW,W,0,9,,,,,,5,8,0.625,,,,,,,,,23,,0
41970,76003,0047000234,"APR 01, 1971",MIL @ SFW,L,0,11,,,,,,10,15,0.667,,,,,,,,,32,,0
41970,76003,0047000233,"MAR 30, 1971",MIL vs. SFW,W,0,13,,,,,,7,11,0.636,,,,,,,,,33,,0
41970,76003,0047000232,"MAR 29, 1971",MIL vs. SFW,W,0,11,,,,,,4,8,0.5,,,,,,,,,26,,0
41970,76003,0047000231,"MAR 27, 1971",MIL @ SFW,W,0,10,,,,,,5,5,1.0,,,,,,,,,25,,0
41971,76003,0047100316,"APR 22, 1972",MIL vs. LAL,L,0,16,,,,,,5,5,1.0,,,,,,,,,37,,0
41971,76003,0047100315,"APR 18, 1972",MIL @ LAL,L,0,13,,,,,,2,2,1.0,,,,,,,,,28,,0
41971,76003,0047100314,"APR 16, 1972",MIL vs. LAL,W,0,14,,,,,,3,5,0.6,,,,,,,,,31,,0
